,mean_imp_knn,mean_imp_lr,mean_imp_rf,gb
0,13.61870527267456,5.066343784332275,14.14522385597229,190.64414381980896
1,5.854244232177734,5.153751850128174,15.035663843154907,198.77793502807617
2,5.541205167770386,5.023347854614258,13.86990213394165,414.9397692680359
3,5.883980989456177,5.077059030532837,14.0154869556427,418.04185605049133
4,5.100651979446411,5.311944961547852,12.39110279083252,492.88189005851746
5,5.283620119094849,5.427149057388306,12.921334028244019,479.2850978374481
6,5.055975914001465,5.350627660751343,14.963392972946167,285.33474683761597
7,5.088515043258667,5.385684967041016,14.638192892074585,176.98561596870422
8,5.679675817489624,5.548827886581421,14.878132820129395,428.3918912410736
9,5.0395989418029785,5.488278865814209,9.911616086959839,500.25576090812683
