MeasurementRun,Coments,BeamSize,AcceleratingVoltage,BeamCurrent,StandardID,n,SiO2,SD_SiO2,RSD_SiO2,TiO2,SD_TiO2,RSD_TiO2,Al2O3,SD_Al2O3,RSD_Al2O3,Fe2O3T,SD_Fe2O3T,FeOT,SD_FeOT,RSD_FeOT,MnO,SD_MnO,RSD_MnO,MgO,SD_MgO,RSD_MgO,CaO,SD_CaO,RSD_CaO,Na2O,SD_Na2O,RSD_Na2O,K2O,SD_K2O,RSD_K2O,P2O5,SD_P2O5,RSD_P2O5,Cl,SD_Cl,RSD_Cl,Total,SD1_Total,Rb,SD_Rb,RSD_Rb,Sr,SD_Sr,RSD_Sr,Y,SD_Y,RSD_Y,Zr,SD_Zr,RSD_Zr,Nb,SD_Nb,RSD_Nb,Cs,SD_Cs,RSD_Cs,Ba,SD_Ba,RSD_Ba,La,SD_La,RSD_La,Ce,SD_Ce,RSD_Ce,Pr,SD_Pr,RSD_Pr,Nd,SD_Nd,RSD_Nd,Sm,SD_Sm,RSD_Sm,Eu,SD_Eu,RSD_Eu,Gd,SD_Gd,RSD_Gd,Tb,SD_Tb,RSD_Tb,Dy,SD_Dy,RSD_Dy,Ho,SD_Ho,RSD_Ho,Er,SD_Er,RSD_Er,Tm,SD_Tm,RSD_Tm,Yb,SD_Yb,RSD_Yb,Lu,SD_Lu,RSD_Lu,Hf,SD_Hf,RSD_Hf,Ta,SD_Ta,RSD_Ta,Pb,SD_Pb,RSD_Pb,Th,SD_Th,RSD_Th,U,SD_U,RSD_U
29-Jun-10,,10,15,6,VG-568,40,76.96,0.29,0.38,0.07,0.01,16.37,12.17,0.09,0.74,,,1.08,0.06,5.21,0.02,0.01,60.02,0.03,0.01,35.8,0.45,0.03,6,3.52,0.24,6.89,4.93,0.04,0.89,,,,,,,99.22,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40413,,10,15,6,ATHO-G,7,74.9094875,0.21453349,0.29,0.2458875,0.02910141,11.84,12.2962125,0.11144529,0.91,,,3.3429125,0.1086542,3.25,0.1039625,0.04347277,41.82,0.103275,0.03125467,30.26,1.6944,0.06434258,3.8,4.24605,0.12478518,2.94,2.6386625,0.03946151,1.5,0.0191375,0.02747526,143.57,,,,99.6437125,0.42634728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40413,,10,15,6,StHs6/80-G,6,63.2578,0.24187602,0.38,0.6744,0.02324536,3.45,17.61651667,0.07923225,0.45,,,4.46826667,0.17008681,3.81,0.06701667,0.03062739,45.7,1.95116667,0.01766932,0.91,5.1387,0.04146441,0.81,4.68011667,0.14740559,3.15,1.28256667,0.03737856,2.91,0.15411667,0.01516198,9.84,,,,99.30198333,0.18214938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40413,,10,15,6,T1-G,5,58.47886,0.18075538,0.31,0.7521,0.05398463,7.18,17.21074,0.0636833,0.37,,,6.50066,0.16206608,2.49,0.14824,0.0375253,25.31,3.76506,0.07289995,1.94,6.7694,0.06545025,0.97,3.2083,0.13072936,4.07,1.96032,0.0398097,2.03,0.18486,0.01819706,9.84,,,,98.99832,0.29390395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-11,,10,15,6,VG-568,24,76.93,0.55,0.72,0.07,0.01,14.39,12.17,0.09,0.77,,,1.08,0.05,4.17,0.03,0.01,31.21,0.02,0.02,75.71,0.45,0.03,5.74,3.52,0.07,1.92,4.93,0.05,0.94,,,,,,,99.21,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40917,,10,15,6,GOR132-G,14,45.9537,0.2012,0.44,0.2824,0.0323,11.44,9.8777,0.1729,1.75,,,9.75,0.2025,2.08,0.1526,0.0493,32.31,25.968,0.1477,0.57,6.1641,0.0757,1.23,0.592,0.0727,12.28,0.0448,0.0129,28.79,0.0341,0.0207,60.7,,,,98.82682143,0.41068213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40917,,10,15,6,KL2-G,14,50.0995,0.2051,0.41,2.5966,0.0853,3.29,13.2891,0.2264,1.7,,,10.865,0.2158,1.99,0.1636,0.0346,21.15,7.2795,0.0913,1.25,10.978,0.0978,0.89,2.2141,0.0725,3.27,0.4829,0.0179,3.71,0.2627,0.0218,8.3,,,,98.23650714,0.561903966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40917,,10,15,6,StHs6/80-G,14,63.519,0.2398,0.38,0.6953,0.0386,5.55,17.6395,0.303,1.72,,,4.3343,0.1629,3.76,0.0657,0.0308,46.88,1.9595,0.0571,2.91,5.2146,0.0688,1.32,4.5797,0.1744,3.81,1.3179,0.0507,3.85,0.1246,0.0332,26.65,,,,99.45510714,0.42363137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun-12,,20-Oct,15,8,VG-568,28,76.96,0.38,0.49,0.05,0.03,50.72,12.17,0.09,0.73,,,1.08,0.14,13.13,0,0,0,0.01,0.01,98,0.45,0.05,11.53,3.52,0.19,5.38,4.93,0.07,1.34,,,,,,,97.56,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-14,,20-Oct,15,8,ATHO-G,69,75.63,0.38,0.5,0.26,0.02,6.67,12.2,0.09,0.75,,,3.27,0.09,2.76,0.11,0.02,21.65,0.1,0.01,13.35,1.7,0.05,3.11,3.73,0.37,10.05,2.64,0.06,2.32,,,,,,,99.68,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar-15,,20-Oct,15,8,VG-568,10,76.92,0.23,0.3,0.08,0.02,22.1,12.17,0.08,0.66,,,1.08,0.12,11.07,0.02,0.02,115.93,0.02,0.01,63.45,0.45,0.02,4.44,3.52,0.26,7.39,4.93,0.08,1.62,,,,,,,99.26,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
