,knn_imp_knn,knn_imp_lr,knn_imp_rf,br_imp_knn,br_imp_lr,br_imp_rf,mean_imp_knn,mean_imp_lr,mean_imp_rf,rf_imp_knn,rf_imp_lr,rf_imp_rf,gb
0,4.558528184890747,3.103789806365967,5.791687965393066,7.266926050186157,7.687572240829468,11.55563998222351,1.877868890762329,2.253659963607788,3.569391965866089,582.1434819698334,445.86943316459656,572.3007180690765,77.97530102729797
1,2.6159701347351074,3.102307081222534,8.046923637390137,7.291878938674927,7.216259241104126,10.914090156555176,1.939634084701538,2.554008960723877,4.368042945861816,550.8665390014648,430.26826095581055,562.6814241409302,84.19917011260986
2,2.5646309852600098,3.1295440196990967,6.40726900100708,7.280868053436279,7.4349870681762695,11.327948093414307,1.782196044921875,2.304821014404297,4.289900064468384,546.3145170211792,431.84361386299133,567.2066760063171,85.17801690101624
3,2.6047799587249756,3.331350088119507,6.680257081985474,7.3435540199279785,7.482973098754883,11.120962142944336,1.8048372268676758,2.48370099067688,3.9356706142425537,540.1361029148102,430.7515559196472,562.6088531017303,83.20316910743713
4,2.88822078704834,3.2335619926452637,5.654834985733032,7.179517030715942,7.287274122238159,11.292145252227783,1.7400431632995605,2.292066812515259,3.7233951091766357,534.3353261947632,422.075984954834,555.3464369773865,88.34392786026001
5,2.5689430236816406,3.146773099899292,6.2072248458862305,7.0083348751068115,7.3216400146484375,11.723174095153809,1.8167150020599365,2.3242647647857666,4.361072778701782,525.1020221710205,417.5847370624542,547.5559680461884,83.02319097518921
6,2.5530588626861572,3.255539894104004,5.55328893661499,7.2190001010894775,7.5206170082092285,11.940400123596191,1.7321128845214844,2.306703805923462,4.407150983810425,553.5531768798828,437.9813070297241,573.4579589366913,88.38573694229126
7,2.5136842727661133,3.2092390060424805,5.860262155532837,7.29144287109375,7.3015220165252686,11.869832992553711,1.6891539096832275,2.336901903152466,4.374691009521484,543.5166840553284,437.4753408432007,565.598356962204,83.06847405433655
8,2.5032269954681396,3.3197021484375,6.280584096908569,7.0222320556640625,7.291619062423706,11.086226224899292,1.804764986038208,2.5420658588409424,4.413731813430786,540.8785421848297,433.69643688201904,558.8401391506195,86.61471796035767
9,2.5197219848632812,3.2148420810699463,6.322697877883911,7.742231130599976,7.390093088150024,11.278759002685547,1.7192788124084473,2.3252317905426025,3.7615890502929688,550.4437031745911,435.98457074165344,568.7266809940338,83.64856576919556
