,knn_imp_knn,knn_imp_lr,knn_imp_rf,br_imp_knn,br_imp_lr,br_imp_rf,mean_imp_knn,mean_imp_lr,mean_imp_rf,rf_imp_knn,rf_imp_lr,rf_imp_rf,gb
0,144.40456199645996,101.43479132652283,152.5739381313324,16.268006324768066,23.89915180206299,36.63401961326599,5.219175100326538,17.219815254211426,16.47454524040222,2008.9082033634186,1955.1356477737427,2039.808289051056,130.98446393013
1,146.2483503818512,107.77426815032959,173.50826501846313,16.607189416885376,24.399088859558105,53.89650630950928,5.3753321170806885,17.76888155937195,16.968626260757446,2107.3764696121216,1983.31764960289,2073.061503171921,76.9745123386383
2,142.90848898887634,98.55405735969543,152.34598350524902,16.35070490837097,23.925645351409912,53.701743364334106,5.2091333866119385,18.830193758010864,21.536789417266846,2060.6288783550262,1927.9114263057709,2016.7031517028809,82.04111647605896
3,132.00531387329102,104.64791893959045,163.5924322605133,15.442507028579712,22.693156003952026,53.233927726745605,5.1160829067230225,17.38117003440857,21.774440050125122,1896.8972718715668,1852.9864869117737,1981.4774510860443,78.81919884681702
4,125.9281976222992,93.54660034179688,148.59479022026062,16.175811290740967,22.970555782318115,51.95225644111633,5.1427693367004395,17.096498250961304,21.341135501861572,1972.8043932914734,1945.1369278430939,2031.1155400276184,81.90814852714539
5,146.0184679031372,126.2074887752533,173.66875529289246,15.492404222488403,23.815131187438965,41.31556487083435,5.330136775970459,16.44266963005066,16.734325170516968,2016.7107908725739,1994.705491065979,2073.139472723007,104.39987635612488
6,141.94986724853516,107.81131720542908,158.60776567459106,16.009957551956177,24.120438814163208,55.39425826072693,5.276583433151245,16.54741907119751,15.582361221313477,2001.2978184223175,1980.499514579773,2069.615303993225,89.24673295021057
7,146.78214836120605,108.83690476417542,165.10844349861145,15.31229829788208,23.60229754447937,54.221651554107666,5.199020624160767,16.28066062927246,16.272413730621338,2037.3669905662537,2026.5812437534332,2104.6063861846924,94.57156491279602
8,140.3304624557495,104.57536911964417,169.73981833457947,15.638015508651733,23.26329255104065,53.70969033241272,5.17098069190979,16.589418649673462,21.39519739151001,2015.8235774040222,2011.3022301197052,2103.003043651581,93.40102028846741
9,140.55924153327942,109.20463848114014,166.1234245300293,15.948964595794678,23.27052402496338,52.43171787261963,5.2260823249816895,16.30834197998047,21.458370208740234,2041.2888119220734,2015.8947205543518,2105.6419966220856,101.80571222305298
